period,stateid,stateDescription,sectorid,sectorName,customers,customers-units
2024-05,HI,Hawaii,OTH,other,,number of customers
2024-05,HI,Hawaii,IND,industrial,812,number of customers
2024-05,HI,Hawaii,COM,commercial,59616,number of customers
2024-05,HI,Hawaii,ALL,all sectors,507027,number of customers
2024-05,GA,Georgia,TRA,transportation,1,number of customers
2024-05,GA,Georgia,RES,residential,4809301,number of customers
2024-05,GA,Georgia,OTH,other,,number of customers
2024-05,GA,Georgia,IND,industrial,24405,number of customers
2024-05,GA,Georgia,COM,commercial,615578,number of customers
2024-05,GA,Georgia,ALL,all sectors,5449285,number of customers
2024-05,FL,Florida,TRA,transportation,2,number of customers
2024-05,FL,Florida,RES,residential,10366455,number of customers
2024-05,FL,Florida,OTH,other,,number of customers
2024-05,FL,Florida,IND,industrial,27166,number of customers
2024-05,FL,Florida,COM,commercial,1294996,number of customers
2024-05,FL,Florida,ALL,all sectors,11688619,number of customers
2024-05,DC,District of Columbia,TRA,transportation,3,number of customers
2024-05,DC,District of Columbia,RES,residential,317990,number of customers
2024-05,DC,District of Columbia,OTH,other,,number of customers
2024-05,DC,District of Columbia,IND,industrial,1,number of customers
2024-05,DC,District of Columbia,COM,commercial,27490,number of customers
2024-05,DC,District of Columbia,ALL,all sectors,345484,number of customers
2024-05,DE,Delaware,TRA,transportation,0,number of customers
2024-05,DE,Delaware,RES,residential,469185,number of customers
2024-05,DE,Delaware,OTH,other,,number of customers
2024-05,DE,Delaware,IND,industrial,742,number of customers
2024-05,DE,Delaware,COM,commercial,60340,number of customers
2024-05,DE,Delaware,ALL,all sectors,530267,number of customers
2024-05,CT,Connecticut,TRA,transportation,3,number of customers
2024-05,CT,Connecticut,RES,residential,1549497,number of customers
2024-05,CT,Connecticut,OTH,other,,number of customers
2024-05,CT,Connecticut,IND,industrial,3878,number of customers
2024-05,CT,Connecticut,COM,commercial,157457,number of customers
2024-05,CT,Connecticut,ALL,all sectors,1710835,number of customers
2024-05,CO,Colorado,TRA,transportation,1,number of customers
2024-05,CO,Colorado,RES,residential,2489433,number of customers
2024-05,CO,Colorado,OTH,other,,number of customers
2024-05,CO,Colorado,IND,industrial,14806,number of customers
2024-05,CO,Colorado,COM,commercial,398562,number of customers
2024-05,CO,Colorado,ALL,all sectors,2902802,number of customers
2024-05,CA,California,TRA,transportation,12,number of customers
2024-05,CA,California,RES,residential,14332699,number of customers
2024-05,CA,California,OTH,other,,number of customers
2024-05,CA,California,IND,industrial,150141,number of customers
2024-05,CA,California,COM,commercial,1795502,number of customers
2024-05,CA,California,ALL,all sectors,16278354,number of customers
2024-05,AR,Arkansas,TRA,transportation,2,number of customers
2024-05,AR,Arkansas,RES,residential,1478955,number of customers
2024-05,AR,Arkansas,OTH,other,,number of customers
2024-05,AR,Arkansas,IND,industrial,32052,number of customers
2024-05,AR,Arkansas,COM,commercial,208709,number of customers
2024-05,AR,Arkansas,ALL,all sectors,1719718,number of customers
2024-05,AZ,Arizona,TRA,transportation,2,number of customers
2024-05,AZ,Arizona,RES,residential,3083500,number of customers
2024-05,AZ,Arizona,OTH,other,,number of customers
2024-05,AZ,Arizona,IND,industrial,7104,number of customers
2024-05,AZ,Arizona,COM,commercial,345038,number of customers
2024-05,AZ,Arizona,ALL,all sectors,3435644,number of customers
2024-05,AK,Alaska,TRA,transportation,0,number of customers
2024-05,AK,Alaska,RES,residential,299695,number of customers
2024-05,AK,Alaska,OTH,other,,number of customers
2024-05,AK,Alaska,IND,industrial,1207,number of customers
2024-05,AK,Alaska,COM,commercial,57692,number of customers
2024-05,AK,Alaska,ALL,all sectors,358594,number of customers
2024-05,AL,Alabama,TRA,transportation,0,number of customers
2024-05,AL,Alabama,RES,residential,2398514,number of customers
2024-05,AL,Alabama,OTH,other,,number of customers
2024-05,AL,Alabama,IND,industrial,7245,number of customers
2024-05,AL,Alabama,COM,commercial,386882,number of customers
2024-04,WSC,West South Central,TRA,transportation,5,number of customers
2024-04,WSC,West South Central,RES,residential,17908176,number of customers
2024-04,WSC,West South Central,OTH,other,,number of customers
2024-04,WSC,West South Central,IND,industrial,433402,number of customers
2024-04,WSC,West South Central,COM,commercial,2405844,number of customers
2024-04,WSC,West South Central,ALL,all sectors,20747427,number of customers
2024-04,ESC,East South Central,TRA,transportation,0,number of customers
2024-04,ESC,East South Central,RES,residential,8884241,number of customers
2024-04,ESC,East South Central,OTH,other,,number of customers
2024-04,ESC,East South Central,IND,industrial,24459,number of customers
2024-04,ESC,East South Central,COM,commercial,1481977,number of customers
2024-04,ESC,East South Central,ALL,all sectors,10390677,number of customers
2024-04,SAT,South Atlantic,TRA,transportation,13,number of customers
2024-04,SAT,South Atlantic,RES,residential,30544182,number of customers
2024-04,SAT,South Atlantic,OTH,other,,number of customers
2024-04,SAT,South Atlantic,IND,industrial,88071,number of customers
2024-04,SAT,South Atlantic,COM,commercial,4017389,number of customers
2024-04,SAT,South Atlantic,ALL,all sectors,34649655,number of customers
2024-04,WNC,West North Central,TRA,transportation,3,number of customers
2024-04,WNC,West North Central,RES,residential,10028954,number of customers
2024-04,WNC,West North Central,OTH,other,,number of customers
2024-04,WNC,West North Central,IND,industrial,131415,number of customers
2024-04,WNC,West North Central,COM,commercial,1512194,number of customers
2024-04,WNC,West North Central,ALL,all sectors,11672566,number of customers
2024-04,ENC,East North Central,TRA,transportation,10,number of customers
2024-04,ENC,East North Central,RES,residential,20936549,number of customers
2024-04,ENC,East North Central,OTH,other,,number of customers
2024-04,ENC,East North Central,IND,industrial,54124,number of customers
2024-04,ENC,East North Central,COM,commercial,2573989,number of customers
2024-04,ENC,East North Central,ALL,all sectors,23564672,number of customers
2024-04,MAT,Middle Atlantic,TRA,transportation,17,number of customers
2024-04,MAT,Middle Atlantic,RES,residential,18218256,number of customers
2024-04,MAT,Middle Atlantic,OTH,other,,number of customers
2024-04,MAT,Middle Atlantic,IND,industrial,42901,number of customers
2024-04,MAT,Middle Atlantic,COM,commercial,2547860,number of customers
2024-04,MAT,Middle Atlantic,ALL,all sectors,20809034,number of customers
2024-04,NEW,New England,TRA,transportation,6,number of customers
2024-04,NEW,New England,RES,residential,6612006,number of customers
2024-04,NEW,New England,OTH,other,,number of customers
2024-04,NEW,New England,IND,industrial,20996,number of customers
2024-04,NEW,New England,COM,commercial,953190,number of customers
2024-04,NEW,New England,ALL,all sectors,7586198,number of customers
2024-04,WY,Wyoming,TRA,transportation,0,number of customers
2024-04,WY,Wyoming,RES,residential,286780,number of customers
2024-04,WY,Wyoming,OTH,other,,number of customers
2024-04,WY,Wyoming,IND,industrial,11994,number of customers
2024-04,WY,Wyoming,COM,commercial,59158,number of customers
2024-04,WY,Wyoming,ALL,all sectors,357932,number of customers
2024-04,WI,Wisconsin,TRA,transportation,2,number of customers
2024-04,WI,Wisconsin,RES,residential,2843844,number of customers
2024-04,WI,Wisconsin,OTH,other,,number of customers
2024-04,WI,Wisconsin,IND,industrial,5678,number of customers
2024-04,WI,Wisconsin,COM,commercial,368986,number of customers
2024-04,WI,Wisconsin,ALL,all sectors,3218510,number of customers
2024-04,WV,West Virginia,TRA,transportation,0,number of customers
2024-04,WV,West Virginia,RES,residential,865488,number of customers
2024-04,WV,West Virginia,OTH,other,,number of customers
2024-04,WV,West Virginia,IND,industrial,11002,number of customers
2024-04,WV,West Virginia,COM,commercial,151800,number of customers
2024-04,WV,West Virginia,ALL,all sectors,1028290,number of customers
2024-04,WA,Washington,TRA,transportation,5,number of customers
2024-04,WA,Washington,RES,residential,3355710,number of customers
2024-04,WA,Washington,OTH,other,,number of customers
2024-04,WA,Washington,IND,industrial,27472,number of customers
2024-04,WA,Washington,COM,commercial,410448,number of customers
2024-04,WA,Washington,ALL,all sectors,3793635,number of customers
2024-04,VA,Virginia,TRA,transportation,1,number of customers
2024-04,VA,Virginia,RES,residential,3670665,number of customers
2024-04,VA,Virginia,OTH,other,,number of customers
2024-04,VA,Virginia,IND,industrial,3925,number of customers
2024-04,VA,Virginia,COM,commercial,452242,number of customers
2024-04,VA,Virginia,ALL,all sectors,4126833,number of customers
2024-04,VT,Vermont,TRA,transportation,0,number of customers
2024-04,VT,Vermont,RES,residential,320755,number of customers
2024-04,VT,Vermont,OTH,other,,number of customers
2024-04,VT,Vermont,IND,industrial,237,number of customers
2024-04,VT,Vermont,COM,commercial,62622,number of customers
2024-04,VT,Vermont,ALL,all sectors,383614,number of customers
2024-04,UT,Utah,TRA,transportation,1,number of customers
2024-04,UT,Utah,RES,residential,1222525,number of customers
2024-04,UT,Utah,OTH,other,,number of customers
2024-04,UT,Utah,IND,industrial,11000,number of customers
2024-04,UT,Utah,COM,commercial,140869,number of customers
2024-04,UT,Utah,ALL,all sectors,1374395,number of customers
2024-04,TX,Texas,TRA,transportation,2,number of customers
2024-04,TX,Texas,RES,residential,12364667,number of customers
2024-04,TX,Texas,OTH,other,,number of customers
2024-04,TX,Texas,IND,industrial,366918,number of customers
2024-04,TX,Texas,COM,commercial,1590375,number of customers
2024-04,TX,Texas,ALL,all sectors,14321962,number of customers
2024-04,TN,Tennessee,TRA,transportation,0,number of customers
2024-04,TN,Tennessee,RES,residential,3083344,number of customers
2024-04,TN,Tennessee,OTH,other,,number of customers
2024-04,TN,Tennessee,IND,industrial,987,number of customers
2024-04,TN,Tennessee,COM,commercial,524708,number of customers
2024-04,TN,Tennessee,ALL,all sectors,3609039,number of customers
2024-04,SD,South Dakota,TRA,transportation,0,number of customers
2024-04,SD,South Dakota,RES,residential,435048,number of customers
2024-04,SD,South Dakota,OTH,other,,number of customers
2024-04,SD,South Dakota,IND,industrial,4359,number of customers
2024-04,SD,South Dakota,COM,commercial,78247,number of customers
2024-04,SD,South Dakota,ALL,all sectors,517654,number of customers
2024-04,SC,South Carolina,TRA,transportation,0,number of customers
2024-04,SC,South Carolina,RES,residential,2569923,number of customers
2024-04,SC,South Carolina,OTH,other,,number of customers
2024-04,SC,South Carolina,IND,industrial,3541,number of customers
2024-04,SC,South Carolina,COM,commercial,410132,number of customers
2024-04,SC,South Carolina,ALL,all sectors,2983596,number of customers
2024-04,RI,Rhode Island,TRA,transportation,1,number of customers
2024-04,RI,Rhode Island,RES,residential,456031,number of customers
2024-04,RI,Rhode Island,OTH,other,,number of customers
2024-04,RI,Rhode Island,IND,industrial,1589,number of customers
2024-04,RI,Rhode Island,COM,commercial,61319,number of customers
2024-04,RI,Rhode Island,ALL,all sectors,518940,number of customers
2024-04,PA,Pennsylvania,TRA,transportation,2,number of customers
2024-04,PA,Pennsylvania,RES,residential,7081177,number of customers
2024-04,PA,Pennsylvania,OTH,other,,number of customers
2024-04,PA,Pennsylvania,IND,industrial,15004,number of customers
2024-04,PA,Pennsylvania,COM,commercial,845510,number of customers
2024-04,PA,Pennsylvania,ALL,all sectors,7941693,number of customers
2024-04,OR,Oregon,TRA,transportation,2,number of customers
2024-04,OR,Oregon,RES,residential,1870170,number of customers
2024-04,OR,Oregon,OTH,other,,number of customers
2024-04,OR,Oregon,IND,industrial,25641,number of customers
2024-04,OR,Oregon,COM,commercial,251411,number of customers
2024-04,OR,Oregon,ALL,all sectors,2147224,number of customers
2024-04,OK,Oklahoma,TRA,transportation,0,number of customers
2024-04,OK,Oklahoma,RES,residential,1889113,number of customers
2024-04,OK,Oklahoma,OTH,other,,number of customers
2024-04,OK,Oklahoma,IND,industrial,18532,number of customers
2024-04,OK,Oklahoma,COM,commercial,304930,number of customers
2024-04,OK,Oklahoma,ALL,all sectors,2212575,number of customers
2024-04,OH,Ohio,TRA,transportation,2,number of customers
2024-04,OH,Ohio,RES,residential,5111368,number of customers
2024-04,OH,Ohio,OTH,other,,number of customers
2024-04,OH,Ohio,IND,industrial,18553,number of customers
2024-04,OH,Ohio,COM,commercial,627385,number of customers
2024-04,OH,Ohio,ALL,all sectors,5757308,number of customers
2024-04,ND,North Dakota,TRA,transportation,0,number of customers
2024-04,ND,North Dakota,RES,residential,397735,number of customers
2024-04,ND,North Dakota,OTH,other,,number of customers
2024-04,ND,North Dakota,IND,industrial,9462,number of customers
2024-04,ND,North Dakota,COM,commercial,77676,number of customers
2024-04,ND,North Dakota,ALL,all sectors,484873,number of customers
2024-04,NC,North Carolina,TRA,transportation,1,number of customers
2024-04,NC,North Carolina,RES,residential,5059458,number of customers
2024-04,NC,North Carolina,OTH,other,,number of customers
2024-04,NC,North Carolina,IND,industrial,9106,number of customers
2024-04,NC,North Carolina,COM,commercial,745697,number of customers
2024-04,NC,North Carolina,ALL,all sectors,5814262,number of customers
2024-04,NY,New York,TRA,transportation,8,number of customers
2024-04,NY,New York,RES,residential,7409391,number of customers
2024-04,NY,New York,OTH,other,,number of customers
2024-04,NY,New York,IND,industrial,16630,number of customers
2024-04,NY,New York,COM,commercial,1161025,number of customers
2024-04,NY,New York,ALL,all sectors,8587054,number of customers
2024-04,NM,New Mexico,TRA,transportation,0,number of customers
2024-04,NM,New Mexico,RES,residential,917359,number of customers
2024-04,NM,New Mexico,OTH,other,,number of customers
2024-04,NM,New Mexico,IND,industrial,9541,number of customers
2024-04,NM,New Mexico,COM,commercial,147869,number of customers
2024-04,NM,New Mexico,ALL,all sectors,1074769,number of customers
2024-04,NJ,New Jersey,TRA,transportation,7,number of customers
2024-04,NJ,New Jersey,RES,residential,3727688,number of customers
2024-04,NJ,New Jersey,OTH,other,,number of customers
2024-04,NJ,New Jersey,IND,industrial,11267,number of customers
2024-04,NJ,New Jersey,COM,commercial,541325,number of customers
2024-04,NJ,New Jersey,ALL,all sectors,4280287,number of customers
2024-04,NH,New Hampshire,TRA,transportation,0,number of customers
2024-04,NH,New Hampshire,RES,residential,650456,number of customers
2024-04,NH,New Hampshire,OTH,other,,number of customers
2024-04,NH,New Hampshire,IND,industrial,3107,number of customers
2024-04,NH,New Hampshire,COM,commercial,111898,number of customers
2024-04,NH,New Hampshire,ALL,all sectors,765461,number of customers
2024-04,NV,Nevada,TRA,transportation,1,number of customers
2024-04,NV,Nevada,RES,residential,1302298,number of customers
2024-04,NV,Nevada,OTH,other,,number of customers
2024-04,NV,Nevada,IND,industrial,4787,number of customers
2024-04,NV,Nevada,COM,commercial,175622,number of customers
2024-04,NV,Nevada,ALL,all sectors,1482708,number of customers
2024-04,NE,Nebraska,TRA,transportation,0,number of customers
2024-04,NE,Nebraska,RES,residential,911339,number of customers
2024-04,NE,Nebraska,OTH,other,,number of customers
2024-04,NE,Nebraska,IND,industrial,65874,number of customers
2024-04,NE,Nebraska,COM,commercial,163542,number of customers
2024-04,NE,Nebraska,ALL,all sectors,1140755,number of customers
2024-04,MT,Montana,TRA,transportation,0,number of customers
2024-04,MT,Montana,RES,residential,557146,number of customers
2024-04,MT,Montana,OTH,other,,number of customers
2024-04,MT,Montana,IND,industrial,10807,number of customers
2024-04,MT,Montana,COM,commercial,118217,number of customers
2024-04,MT,Montana,ALL,all sectors,686170,number of customers
2024-04,MO,Missouri,TRA,transportation,2,number of customers
2024-04,MO,Missouri,RES,residential,2885292,number of customers
2024-04,MO,Missouri,OTH,other,,number of customers
2024-04,MO,Missouri,IND,industrial,9424,number of customers
2024-04,MO,Missouri,COM,commercial,384842,number of customers
2024-04,MO,Missouri,ALL,all sectors,3279560,number of customers
2024-04,MS,Mississippi,TRA,transportation,0,number of customers
2024-04,MS,Mississippi,RES,residential,1369387,number of customers
2024-04,MS,Mississippi,OTH,other,,number of customers
2024-04,MS,Mississippi,IND,industrial,10887,number of customers
2024-04,MS,Mississippi,COM,commercial,245038,number of customers
2024-04,MS,Mississippi,ALL,all sectors,1625312,number of customers
2024-04,MN,Minnesota,TRA,transportation,1,number of customers
2024-04,MN,Minnesota,RES,residential,2595572,number of customers
2024-04,MN,Minnesota,OTH,other,,number of customers
2024-04,MN,Minnesota,IND,industrial,9495,number of customers
2024-04,MN,Minnesota,COM,commercial,307787,number of customers
2024-04,MN,Minnesota,ALL,all sectors,2912855,number of customers
2024-04,MI,Michigan,TRA,transportation,2,number of customers
2024-04,MI,Michigan,RES,residential,4529699,number of customers
2024-04,MI,Michigan,OTH,other,,number of customers
2024-04,MI,Michigan,IND,industrial,5684,number of customers
2024-04,MI,Michigan,COM,commercial,563557,number of customers
2024-04,MI,Michigan,ALL,all sectors,5098942,number of customers
2024-04,MA,Massachusetts,TRA,transportation,2,number of customers
2024-04,MA,Massachusetts,RES,residential,2884941,number of customers
2024-04,MA,Massachusetts,OTH,other,,number of customers
2024-04,MA,Massachusetts,IND,industrial,10183,number of customers
2024-04,MA,Massachusetts,COM,commercial,447993,number of customers
2024-04,MA,Massachusetts,ALL,all sectors,3343119,number of customers
2024-04,MD,Maryland,TRA,transportation,5,number of customers
2024-04,MD,Maryland,RES,residential,2445496,number of customers
2024-04,MD,Maryland,OTH,other,,number of customers
2024-04,MD,Maryland,IND,industrial,9080,number of customers
2024-04,MD,Maryland,COM,commercial,261858,number of customers
2024-04,MD,Maryland,ALL,all sectors,2716439,number of customers
2024-04,ME,Maine,TRA,transportation,0,number of customers
2024-04,ME,Maine,RES,residential,751651,number of customers
2024-04,ME,Maine,OTH,other,,number of customers
2024-04,ME,Maine,IND,industrial,1993,number of customers
2024-04,ME,Maine,COM,commercial,111967,number of customers
2024-04,ME,Maine,ALL,all sectors,865611,number of customers
2024-04,LA,Louisiana,TRA,transportation,1,number of customers
2024-04,LA,Louisiana,RES,residential,2175461,number of customers
2024-04,LA,Louisiana,OTH,other,,number of customers
2024-04,LA,Louisiana,IND,industrial,18246,number of customers
2024-04,LA,Louisiana,COM,commercial,301140,number of customers
2024-04,LA,Louisiana,ALL,all sectors,2494848,number of customers
2024-04,KY,Kentucky,TRA,transportation,0,number of customers
2024-04,KY,Kentucky,RES,residential,2035499,number of customers
2024-04,KY,Kentucky,OTH,other,,number of customers
2024-04,KY,Kentucky,IND,industrial,5392,number of customers
2024-04,KY,Kentucky,COM,commercial,325723,number of customers
2024-04,KY,Kentucky,ALL,all sectors,2366614,number of customers
2024-04,KS,Kansas,TRA,transportation,0,number of customers
2024-04,KS,Kansas,RES,residential,1339486,number of customers
2024-04,KS,Kansas,OTH,other,,number of customers
2024-04,KS,Kansas,IND,industrial,24170,number of customers
2024-04,KS,Kansas,COM,commercial,249045,number of customers
2024-04,KS,Kansas,ALL,all sectors,1612701,number of customers
2024-04,IA,Iowa,TRA,transportation,0,number of customers
2024-04,IA,Iowa,RES,residential,1464482,number of customers
2024-04,IA,Iowa,OTH,other,,number of customers
2024-04,IA,Iowa,IND,industrial,8631,number of customers
2024-04,IA,Iowa,COM,commercial,251055,number of customers
2024-04,IA,Iowa,ALL,all sectors,1724168,number of customers
2024-04,IN,Indiana,TRA,transportation,1,number of customers
2024-04,IN,Indiana,RES,residential,2993733,number of customers
2024-04,IN,Indiana,OTH,other,,number of customers
2024-04,IN,Indiana,IND,industrial,18676,number of customers
2024-04,IN,Indiana,COM,commercial,375919,number of customers
2024-04,IN,Indiana,ALL,all sectors,3388329,number of customers
2024-04,IL,Illinois,TRA,transportation,3,number of customers
2024-04,IL,Illinois,RES,residential,5457905,number of customers
2024-04,IL,Illinois,OTH,other,,number of customers
2024-04,IL,Illinois,IND,industrial,5533,number of customers
2024-04,IL,Illinois,COM,commercial,638142,number of customers
2024-04,IL,Illinois,ALL,all sectors,6101583,number of customers
2024-04,ID,Idaho,TRA,transportation,0,number of customers
2024-04,ID,Idaho,RES,residential,858731,number of customers
2024-04,ID,Idaho,OTH,other,,number of customers
2024-04,ID,Idaho,IND,industrial,29678,number of customers
2024-04,ID,Idaho,COM,commercial,123230,number of customers
2024-04,ID,Idaho,ALL,all sectors,1011639,number of customers
2024-04,HI,Hawaii,TRA,transportation,0,number of customers
2024-04,HI,Hawaii,RES,residential,446435,number of customers
2024-04,HI,Hawaii,OTH,other,,number of customers
2024-04,HI,Hawaii,IND,industrial,817,number of customers
2024-04,HI,Hawaii,COM,commercial,59779,number of customers
2024-04,HI,Hawaii,ALL,all sectors,507031,number of customers
2024-04,GA,Georgia,TRA,transportation,1,number of customers
2024-04,GA,Georgia,RES,residential,4799263,number of customers
2024-04,GA,Georgia,OTH,other,,number of customers
2024-04,GA,Georgia,IND,industrial,23810,number of customers
2024-04,GA,Georgia,COM,commercial,614517,number of customers
2024-04,GA,Georgia,ALL,all sectors,5437591,number of customers
2024-04,FL,Florida,TRA,transportation,2,number of customers
2024-04,FL,Florida,RES,residential,10347782,number of customers
2024-04,FL,Florida,OTH,other,,number of customers
2024-04,FL,Florida,IND,industrial,26843,number of customers
2024-04,FL,Florida,COM,commercial,1293469,number of customers
2024-04,FL,Florida,ALL,all sectors,11668096,number of customers
2024-04,DC,District of Columbia,TRA,transportation,3,number of customers
2024-04,DC,District of Columbia,RES,residential,317645,number of customers
2024-04,DC,District of Columbia,OTH,other,,number of customers
2024-04,DC,District of Columbia,IND,industrial,1,number of customers
2024-04,DC,District of Columbia,COM,commercial,27478,number of customers
2024-04,DC,District of Columbia,ALL,all sectors,345127,number of customers
2024-04,DE,Delaware,TRA,transportation,0,number of customers
2024-04,DE,Delaware,RES,residential,468462,number of customers
2024-04,DE,Delaware,OTH,other,,number of customers
2024-04,DE,Delaware,IND,industrial,763,number of customers
2024-04,DE,Delaware,COM,commercial,60196,number of customers
2024-04,DE,Delaware,ALL,all sectors,529421,number of customers
2024-04,CT,Connecticut,TRA,transportation,3,number of customers
2024-04,CT,Connecticut,RES,residential,1548172,number of customers
2024-04,CT,Connecticut,OTH,other,,number of customers
2024-04,CT,Connecticut,IND,industrial,3887,number of customers
2024-04,CT,Connecticut,COM,commercial,157391,number of customers
2024-04,CT,Connecticut,ALL,all sectors,1709453,number of customers
2024-04,CO,Colorado,TRA,transportation,1,number of customers
2024-04,CO,Colorado,RES,residential,2486421,number of customers
2024-04,CO,Colorado,OTH,other,,number of customers
2024-04,CO,Colorado,IND,industrial,14797,number of customers
2024-04,CO,Colorado,COM,commercial,398077,number of customers
2024-04,CO,Colorado,ALL,all sectors,2899296,number of customers
2024-04,CA,California,TRA,transportation,12,number of customers
2024-04,CA,California,RES,residential,14065289,number of customers
2024-04,CA,California,OTH,other,,number of customers
2024-04,CA,California,IND,industrial,146764,number of customers
2024-04,CA,California,COM,commercial,1768686,number of customers
2024-04,CA,California,ALL,all sectors,15980751,number of customers
2024-04,AR,Arkansas,TRA,transportation,2,number of customers
2024-04,AR,Arkansas,RES,residential,1478935,number of customers
2024-04,AR,Arkansas,OTH,other,,number of customers
2024-04,AR,Arkansas,IND,industrial,29706,number of customers
2024-04,AR,Arkansas,COM,commercial,209399,number of customers
2024-04,AR,Arkansas,ALL,all sectors,1718042,number of customers
2024-04,AZ,Arizona,TRA,transportation,2,number of customers
2024-04,AZ,Arizona,RES,residential,3079843,number of customers
2024-04,AZ,Arizona,OTH,other,,number of customers
2024-04,AZ,Arizona,IND,industrial,7102,number of customers
2024-04,AZ,Arizona,COM,commercial,344371,number of customers
2024-04,AZ,Arizona,ALL,all sectors,3431318,number of customers
2024-04,AK,Alaska,TRA,transportation,0,number of customers
2024-04,AK,Alaska,RES,residential,299222,number of customers
2024-04,AK,Alaska,OTH,other,,number of customers
2024-04,AK,Alaska,IND,industrial,1201,number of customers
2024-04,AK,Alaska,COM,commercial,57494,number of customers
2024-04,AK,Alaska,ALL,all sectors,357917,number of customers
2024-04,AL,Alabama,TRA,transportation,0,number of customers
2024-04,AL,Alabama,RES,residential,2396011,number of customers
2024-04,AL,Alabama,OTH,other,,number of customers
2024-04,AL,Alabama,IND,industrial,7193,number of customers
2024-04,AL,Alabama,COM,commercial,386508,number of customers
2024-04,AL,Alabama,ALL,all sectors,2789712,number of customers
2024-04,US,U.S. Total,TRA,transportation,78,number of customers
2024-04,US,U.S. Total,RES,residential,143880293,number of customers
2024-04,US,U.S. Total,OTH,other,,number of customers
2024-04,US,U.S. Total,IND,industrial,1096969,number of customers
2024-04,US,U.S. Total,COM,commercial,19547674,number of customers
2024-04,US,U.S. Total,ALL,all sectors,164525014,number of customers
2024-04,PACN,Pacific Noncontiguous,TRA,transportation,0,number of customers
2024-04,PACN,Pacific Noncontiguous,RES,residential,745657,number of customers
2024-04,PACN,Pacific Noncontiguous,OTH,other,,number of customers
2024-04,PACN,Pacific Noncontiguous,IND,industrial,2018,number of customers
2024-04,PACN,Pacific Noncontiguous,COM,commercial,117273,number of customers
2024-04,PACN,Pacific Noncontiguous,ALL,all sectors,864948,number of customers
2024-04,PACC,Pacific Contiguous,TRA,transportation,19,number of customers
2024-04,PACC,Pacific Contiguous,RES,residential,19291169,number of customers
2024-04,PACC,Pacific Contiguous,OTH,other,,number of customers
2024-04,PACC,Pacific Contiguous,IND,industrial,199877,number of customers
2024-04,PACC,Pacific Contiguous,COM,commercial,2430545,number of customers
2024-04,PACC,Pacific Contiguous,ALL,all sectors,21921610,number of customers
2024-04,MTN,Mountain,TRA,transportation,5,number of customers
2024-04,MTN,Mountain,RES,residential,10711103,number of customers
2024-04,MTN,Mountain,OTH,other,,number of customers
2024-04,MTN,Mountain,IND,industrial,99706,number of customers
2024-04,MTN,Mountain,COM,commercial,1507413,number of customers
2024-04,MTN,Mountain,ALL,all sectors,12318227,number of customers
2024-03,CT,Connecticut,ALL,all sectors,1706623,number of customers
2024-03,US,U.S. Total,TRA,transportation,81,number of customers
2024-03,US,U.S. Total,RES,residential,143653733,number of customers
2024-03,US,U.S. Total,OTH,other,,number of customers
2024-03,US,U.S. Total,IND,industrial,1080363,number of customers
2024-03,US,U.S. Total,COM,commercial,19533175,number of customers
2024-03,US,U.S. Total,ALL,all sectors,164267352,number of customers
2024-03,PACN,Pacific Noncontiguous,TRA,transportation,0,number of customers
2024-03,PACN,Pacific Noncontiguous,RES,residential,745115,number of customers
2024-03,PACN,Pacific Noncontiguous,OTH,other,,number of customers
2024-03,PACN,Pacific Noncontiguous,IND,industrial,1993,number of customers
2024-03,PACN,Pacific Noncontiguous,COM,commercial,117248,number of customers
2024-03,PACN,Pacific Noncontiguous,ALL,all sectors,864356,number of customers
2024-03,PACC,Pacific Contiguous,TRA,transportation,19,number of customers
2024-03,PACC,Pacific Contiguous,RES,residential,19329193,number of customers
2024-03,PACC,Pacific Contiguous,OTH,other,,number of customers
2024-03,PACC,Pacific Contiguous,IND,industrial,197834,number of customers
2024-03,PACC,Pacific Contiguous,COM,commercial,2430123,number of customers
2024-03,PACC,Pacific Contiguous,ALL,all sectors,21957169,number of customers
2024-03,MTN,Mountain,TRA,transportation,5,number of customers
2024-03,MTN,Mountain,RES,residential,10704486,number of customers
2024-03,MTN,Mountain,OTH,other,,number of customers
2024-03,MTN,Mountain,IND,industrial,98098,number of customers
2024-03,MTN,Mountain,COM,commercial,1505453,number of customers
2024-03,MTN,Mountain,ALL,all sectors,12308042,number of customers
2024-03,WSC,West South Central,TRA,transportation,5,number of customers
2024-03,WSC,West South Central,RES,residential,17813083,number of customers
2024-03,WSC,West South Central,OTH,other,,number of customers
2024-03,WSC,West South Central,IND,industrial,427469,number of customers
2024-03,WSC,West South Central,COM,commercial,2395599,number of customers
2024-03,WSC,West South Central,ALL,all sectors,20636156,number of customers
2024-03,ESC,East South Central,TRA,transportation,0,number of customers
2024-03,ESC,East South Central,RES,residential,8868414,number of customers
2024-03,ESC,East South Central,OTH,other,,number of customers
2024-03,ESC,East South Central,IND,industrial,24238,number of customers
2024-03,ESC,East South Central,COM,commercial,1478404,number of customers
2024-03,ESC,East South Central,ALL,all sectors,10371056,number of customers
2024-03,SAT,South Atlantic,TRA,transportation,13,number of customers
2024-03,SAT,South Atlantic,RES,residential,30476826,number of customers
2024-03,SAT,South Atlantic,OTH,other,,number of customers
2024-03,SAT,South Atlantic,IND,industrial,87444,number of customers
2024-03,SAT,South Atlantic,COM,commercial,4007477,number of customers
2024-03,SAT,South Atlantic,ALL,all sectors,34571760,number of customers
